post_title,Serving Size,Servings,Calories,Total Fat,Saturated Fat,Trans. Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugars,Protein
Brstiüni ohrovt,,,,0.25,0,,,0,9.2,,1.71,4.32
"Brstiüni ohrovt, kuhan",,,,0.14,0,,,0,7.13,,1.09,3.37
"Zelje, belo",,,,0.06,0,,,0,4.73,,3.496,1.29
"Repa, kisla",,,,0.04,0,,,0,5.12,,0.19,0.85
"¨ebula, rjava",,,,0.05,0,,,0,8.27,,3.514,1.18
Por,,,,0.17,0,,,0,8.66,,3.765,2.07
"Por, kuhan",,,,0.15,0,,,0,6.67,,1.716,1.71
"Koleraba, rumena",,,,0.03,0,,,0,10.3,,7.17,0.97
"Koleraba, rumena, kuhana",,,,0.02,0,,,0,9.32,,5.47,0.51
Êpinaüa,,,,0.17,0,,,0,3.09,,0.44,2.8
"Êpinaüa, kuhana",,,,0.3,0,,,0,0.45,,0.38,2.36
Korenje,,,,0.1,0,,,0,9.22,,4.66,0.76
"Korenje, kuhano",,,,0.17,0,,,0,9.39,,4.46,0.84
"Fißol, üeÁnjevec",,,,0.78,0,,,0,61.6,,2.33,20.8
"Fißol, üeÁnjevec, kuhan",,,,0.41,0,,,0,24.5,,0.57,8.14
"Fißol, sivüek",,,,1.01,0,,,0,55.4,,2.79,23.5
"Fißol, sivüek, kuhan",,,,0.34,0,,,0,23,,0.615,9.86
"Fißol, tetovec",,,,0.96,0,,,0,58.4,,1.94,20.3
"Fißol, tetovec, kuhan",,,,0.4,0,,,0,23.6,,0.365,8.66
Regrat,,,,0.31,0,,,0,5.35,,0.969,3.17
¨emaß,,,,0.33,0,,,0,4.82,,0.77,2.64
"¨ebula, mlada",,,,0.06,0,,,0,7.29,,6,1.11
"Koleraba, nadzemna",,,,0.05,0,,,0,5.26,,3.09,1.92
Kumare,,,,0.02,0,,,0,2.6,,1.757,0.78
Êparglji,,,,0.1,0,,,0,3.22,,1.384,1.72
"Êparglji, kuhani",,,,0.08,0,,,0,3.62,,1.25,2.18
Cvetaüa,,,,0.09,0,,,0,5.51,,2.365,2.11
"Cvetaüa, kuhana",,,,0.14,0,,,0,4.24,,1.32,1.71
"Paprika, rumena",,,,0.05,0,,,0,3.44,,1.717,0.82
"Krompir, kifeljüar",,,,0.04,0,,,0,15.3,,0.71,2.16
"Krompir, kifeljüar, kuhan",,,,0.04,0,,,0,17.2,,0,2.23
"Krompir, kifeljüar, peüen",,,,0.06,0,,,0,19.6,,2.55,2.88
"Solata, kristalka, Noisette",,,,0.17,0,,,0,3.56,,0.891,0.96
"Solata, endivija",,,,0.14,0,,,0,4.37,,1.72,1.24
Rdeüa pesa,,,,0.03,0,,,0,10.3,,7.947,1.15
"Rdeüa pesa, kuhana",,,,0.04,0,,,0,10.2,,6.27,1.22
¨esen,,,,0.07,0,,,0,15.8,,1.54,1.89
Grah,,,,0.52,0,,,0,17.8,,2.17,5.94
"Grah, kuhan",,,,0.43,0,,,0,19.5,,2.4,6.35
Paradißnik,,,,0.08,0,,,0,3.94,,2.044,0.85
Jajüevec,,,,0.18,0,,,0,2.49,,2.271,1.24
Stroüji fißol,,,,0.06,0,,,0,5.98,,2.261,1.55
"Stroüji fißol, kuhan",,,,0.07,0,,,0,7.93,,1.865,1.89
Blitva,,,,0.09,0,,,0,4.99,,2.16,1.52
"Blitva, kuhana",,,,0.13,0,,,0,5.43,,1.13,1.37
Buüke,,,,0.04,0,,,0,2.86,,1.761,1.17
"Zelje, kislo",,,,0.08,0,,,0,5.18,,0.603,1.33
"Zelje, rdeüe",,,,0.05,0,,,0,4.92,,2.28,1.02
"Korenje, rumeno",,,,0.02,0,,,0,5.82,,2.7,1.3
"Korenje, rumeno, kuhano",,,,0.04,0,,,0,7.3,,2.71,1.29
Brokoli,,,,0.2,0,,,0,2.66,,2.661,3.78
"Brokoli, kuhan",,,,0.2,0,,,0,2.03,,2.03,2.8
"Paprika, zelena",,,,0.04,0,,,0,3.85,,2.247,0.8
"¨ebula, Ptujska rdeüa",,,,0.09,0,,,0,11.4,,4.93,1.54
"Namizne oljke, Istrska belica",,,,15,0,,,0,1.76,,0,1.38
"Namizne oljke, Êtorta",,,,12,0,,,0,1.76,,0,1.38
"Ekstra deviÁko oljüno olje, meÁanica sort",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, ¨rnica",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, BriÁka ürnica",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, Buga",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, Istrska belica",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, Komuna",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, Leccino",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, Mata",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, Êtorta",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, Zmartel",,,,100,0,,,0,0,,0,0
"Ekstra deviÁko oljüno olje, ¶ißula",,,,100,0,,,0,0,,0,0
Buüno olje,,,,100,0,,,0,0,,0,0
"Buünice, golice",,,,43.6,0,,,0,0,,0,38.2
"Buünice, belice",,,,36.6,0,,,0,0,,0,34.7
"JuÁni rezanci, ajdovi",,,,3.45,0,,,0,71.4,,0,12.3
"JuÁni rezanci, ajdovi, kuhani",,,,0.83,0,,,0,20.5,,0,3.57
Paprika sladka zaüimba,,,,2.37,0.47,,,0,68.7,,0,17.9
Paprika pekoüa zaüimba,,,,2.37,0.47,,,0,68.7,,0,17.9
WILDROHWURST,,,,3.1,0.3,,,0,67.1,,64.4,8.2
HUHNERPASTETE,,,,0.9,0.27,,,0,41,,40.3,32.9
ISOKONTRIKT 5590,,,,1.5,0.12,,,0,79.4,,79.4,7.1
FRANFURTER KOMBI,,,,1.8,0.17,,,39.48,39.2,,39.2,9.8
WURTZOMAT 5200,,,,2.3,1.14,,,0,33.2,,32.5,27.2
TATARSKI BIFTEK,,,,4.9,0.85,,,23.64,33.2,,29.1,9.3
BRUDAUERWURST KRAKAUER,,,,10.8,0.63,,,0,47.1,,39.6,22.5
RCS7 PLUS OA,,,,1.4,0.12,,,43.39,34.8,,34.2,7.2
SOJINO ZRNO,,,,17.7,2.4,,,0,34,,0,34
KE¨AP,,,,0.5,0.1,,,0,25,,22,1.5
PARADI¶NIKOV PIRE,,,,0.1,0,,,0,10.2,,0,1.7
"¨EBULA, BELA",,,,0.5,0,,,0,30,,0,6.4
DROBNJAK,,,,0.6,0.1,,,0,3.8,,0,2.8
LE¨A,,,,1,0.2,,,0,60,,0,24
TARTUF,,,,0.51,0.1,,,0,0,,0,5.53
LISI¨KA,,,,0.24,0.1,,,0,3,,0,1.5
ÊAMPINJON,,,,0.24,0,,,0,0.68,,0,2.74
HREN,,,,0.3,0,,,0,12.35,,8.25,2.8
"PETERÊILJ, LIST",,,,0.36,0,,,0,1.31,,0.85,4.43
"PETERÊILJ, KOREN",,,,0.47,0,,,0,5.44,,5.44,2.88
"PETERÊILJ, SUH",,,,4.43,0.64,,,0,51.7,,16,22.4
"ZELENA, CELA",,,,0.33,0,,,0,2.25,,1.81,1.55
"ZELENA, LIST, SUH",,,,2.15,0,,,0,65,,0,11.8
AVOKADO,,,,23.5,4.2,,,0,0.4,,0.4,1.9
BANANA,,,,0.18,0.06,,,0,21.39,,16.8,1.15
DATELJ,,,,0.53,0,,,0,66.32,,64,1.85
MESNATA SLANINA,,,,38.5,16.5,,,0,0,,0,12.6
SVINJSKA KRI,,,,0.4,0.1,,,0,0.1,,0,16.6
SVINJSKI MO¶GANI,,,,9,5.1,,,0,0,,0,1.6
GOVEJA KRI,,,,0.13,0,,,0,0,,0,17.8
Aroma Ruma,,,,78.1,9.6,,,0,0,,0,0
Marmelada MeÁano sadja Presad,,,,0.1,0.1,,,0.02,59.3,,58.8,0.12
