koda,Zivilo,Posebnosti,Mascobe,Nasicene,Ogljikovi hidrati,Sladkorji,Beljakovine,Soli,
SA10,Jabolke,,0.11,0,14.3,11.35,0.16,0,
SA11,"Jabolke, Carjeviü",,0.14,0,15.2,12.38,0.17,0,
SA12,"Jabolke, Êampanjska Reneta",,0.14,0,14.8,10.65,0.13,0,
SA13,Slive,,0.1,0,19.2,12.53,0.7,0,
SA14,"Grozdje, belo",,0.07,0,18.3,15.458,0.36,0,
SA15,"Drozdje, rdeüe",,0.06,0,23.9,20.028,0.46,0,
SA16,"LeÁniki, Istrska dolgoplodna leska",,62.1,0,15.9,0.45,16.8,0,
SA17,Orehi,,69.7,0,11,2.14,14.4,0,
SA18,"Pravi kostanj, kuhan",,2.33,0,54.1,7.905,3.25,0,
SA19,"Kaki, Vanilija",,0.08,0,17.5,14.84,0.36,0,
SA20,Kaki ,,0.1,0,17.7,16.62,0.54,0,
SA21,Fige,,0.26,0,18.9,15.78,1.61,0,
SA22,Êipek,,0,0,0,9.52,0,0,
SA23,Marelice,,0.13,0,8.54,7.72,0.9,0,
SA24,Kivi,,0.63,0,9.12,9.125,1,0,
SA25,Pomaranüa,,0.2,0,8.25,8.28,1,0,
SA26,Mandarina,,0.3,0,10.1,10.1,0.7,0,
SA27,Grenivka,,0.15,0,7.41,7.41,0.6,0,
SA28,Limona,,0.6,0,3.16,3.16,0.7,0,
SA29,Limeta,,2.4,0,1.9,1.9,0.5,0,
SA30,Ananas,,0.15,0,12.4,12.4,0.46,0,
SA31,Rozine,,0.55,0,68,67.1,2.46,0,
SA32,Suhi jabolüni krhlji,,1.63,0,55.4,49.94,1.37,0,
SA33,Suhe slive,,0.6,0,47.4,40.87,2.3,0,
SA34,Suhe marelice,,0.5,0,47.9,43.27,5,0,
SA35,"Brusnice, posuÁene, sladkane",,1.37,0.1,82.36,65,0.07,0,
ZE1,"Radiü, rdeü",,0.18,0,5.22,1.368,1.85,0,
ZE2,"Radiü, zelen",,0.2,0,4.94,2.143,1.16,0,
ZE3,Motovilec,,0.2,0,3.34,0.416,2.29,0,
ZE4,Ohrovt,,0.24,0,9.21,1.753,3.95,0,
